season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2024,0,2024-03-07 19:30:00,S.C.G.,Sydney,Melbourne,12,14,86,9,10,64,Sydney,22,0,0,35700
2024,0,2024-03-08 19:40:00,Gabba,Brisbane Lions,Carlton,12,13,85,13,8,86,Carlton,-1,0,0,35701
2024,0,2024-03-09 16:20:00,Carrara,Gold Coast,Richmond,14,15,99,9,6,60,Gold Coast,39,0,0,35702
2024,0,2024-03-09 19:30:00,Sydney Showground,Greater Western Sydney,Collingwood,18,6,114,11,16,82,Greater Western Sydney,32,0,0,35703
2024,1,2024-03-14 19:30:00,M.C.G.,Carlton,Richmond,12,14,86,12,9,81,Carlton,5,0,0,35704
2024,1,2024-03-15 19:40:00,M.C.G.,Collingwood,Sydney,10,9,69,15,12,102,Sydney,-33,0,0,35705
2024,1,2024-03-16 13:45:00,M.C.G.,Essendon,Hawthorn,17,5,107,11,17,83,Essendon,24,0,0,35706
2024,1,2024-03-16 16:35:00,Sydney Showground,Greater Western Sydney,North Melbourne,17,19,121,13,4,82,Greater Western Sydney,39,0,0,35707
2024,1,2024-03-16 19:30:00,Kardinia Park,Geelong,St Kilda,10,16,76,9,14,68,Geelong,8,0,0,35708
2024,1,2024-03-16 20:10:00,Carrara,Gold Coast,Adelaide,8,12,60,8,6,54,Gold Coast,6,0,0,35709
2024,1,2024-03-17 13:00:00,M.C.G.,Melbourne,Western Bulldogs,16,13,109,9,10,64,Melbourne,45,0,0,35710
2024,1,2024-03-17 16:00:00,Adelaide Oval,Port Adelaide,West Coast,16,24,120,10,10,70,Port Adelaide,50,0,0,35711
2024,1,2024-03-17 18:50:00,Perth Stadium,Fremantle,Brisbane Lions,14,9,93,10,10,70,Fremantle,23,0,0,35712
2024,2,2024-03-21 19:30:00,M.C.G.,St Kilda,Collingwood,14,10,94,12,7,79,St Kilda,15,0,0,35713
2024,2,2024-03-22 19:40:00,Adelaide Oval,Adelaide,Geelong,11,11,77,14,12,96,Geelong,-19,0,0,35714
2024,2,2024-03-23 13:45:00,Docklands,North Melbourne,Fremantle,11,10,76,15,12,102,Fremantle,-26,0,0,35715
2024,2,2024-03-23 16:35:00,M.C.G.,Hawthorn,Melbourne,5,8,38,14,9,93,Melbourne,-55,0,0,35716
2024,2,2024-03-23 19:30:00,S.C.G.,Sydney,Essendon,19,17,131,15,11,101,Sydney,30,0,0,35717
2024,2,2024-03-24 13:00:00,Eureka Stadium,Western Bulldogs,Gold Coast,18,7,115,10,7,67,Western Bulldogs,48,0,0,35718
2024,2,2024-03-24 16:00:00,M.C.G.,Richmond,Port Adelaide,13,14,92,18,14,122,Port Adelaide,-30,0,0,35719
2024,2,2024-03-24 18:50:00,Perth Stadium,West Coast,Greater Western Sydney,5,13,43,16,12,108,Greater Western Sydney,-65,0,0,35720
2024,3,2024-03-28 19:30:00,Gabba,Brisbane Lions,Collingwood,10,12,72,14,8,92,Collingwood,-20,0,0,35721
2024,3,2024-03-29 16:20:00,Docklands,North Melbourne,Carlton,12,9,81,21,11,137,Carlton,-56,0,0,35722
2024,3,2024-03-29 19:30:00,Perth Stadium,Fremantle,Adelaide,9,15,69,4,10,34,Fremantle,35,0,0,35723
2024,3,2024-03-30 16:20:00,Docklands,Essendon,St Kilda,10,11,71,9,13,67,Essendon,4,0,0,35724
2024,3,2024-03-30 19:30:00,Adelaide Oval,Port Adelaide,Melbourne,13,11,89,15,6,96,Melbourne,-7,0,0,35725
2024,3,2024-03-31 13:00:00,Docklands,Western Bulldogs,West Coast,16,10,106,3,12,30,Western Bulldogs,76,0,0,35726
2024,3,2024-03-31 16:00:00,M.C.G.,Richmond,Sydney,11,16,82,11,11,77,Richmond,5,0,0,35727
2024,3,2024-04-01 15:20:00,M.C.G.,Hawthorn,Geelong,10,10,70,17,4,106,Geelong,-36,0,0,35728
2024,4,2024-04-04 19:40:00,Adelaide Oval,Adelaide,Melbourne,8,15,63,10,18,78,Melbourne,-15,0,0,35729
2024,4,2024-04-05 17:10:00,Norwood Oval,Brisbane Lions,North Melbourne,16,16,112,6,6,42,Brisbane Lions,70,0,0,35730
2024,4,2024-04-05 20:10:00,Adelaide Oval,Port Adelaide,Essendon,17,9,111,6,6,42,Port Adelaide,69,0,0,35731
2024,4,2024-04-06 13:30:00,Adelaide Hills,West Coast,Sydney,11,12,78,15,14,104,Sydney,-26,0,0,35732
2024,4,2024-04-06 16:20:00,Adelaide Oval,Fremantle,Carlton,9,9,63,10,13,73,Carlton,-10,0,0,35733
2024,4,2024-04-06 20:10:00,Adelaide Oval,Western Bulldogs,Geelong,14,7,91,14,11,95,Geelong,-4,0,0,35734
2024,4,2024-04-07 12:30:00,Adelaide Hills,Gold Coast,Greater Western Sydney,13,11,89,18,9,117,Greater Western Sydney,-28,0,0,35735
2024,4,2024-04-07 15:20:00,Norwood Oval,Richmond,St Kilda,9,6,60,9,13,67,St Kilda,-7,0,0,35736
2024,4,2024-04-07 17:10:00,Adelaide Oval,Collingwood,Hawthorn,11,11,77,11,6,72,Collingwood,5,0,0,35737
2024,5,2024-04-11 19:30:00,M.C.G.,Melbourne,Brisbane Lions,8,12,60,12,10,82,Brisbane Lions,-22,0,0,35738
2024,5,2024-04-12 19:40:00,Docklands,Western Bulldogs,Essendon,9,13,67,15,6,96,Essendon,-29,0,0,35739
2024,5,2024-04-13 13:45:00,Manuka Oval,Greater Western Sydney,St Kilda,11,14,80,12,7,79,Greater Western Sydney,1,0,0,35740
2024,5,2024-04-13 16:35:00,Docklands,Carlton,Adelaide,14,14,98,16,4,100,Adelaide,-2,0,0,35741
2024,5,2024-04-13 19:30:00,Carrara,Gold Coast,Hawthorn,16,13,109,8,8,56,Gold Coast,53,0,0,35742
2024,5,2024-04-13 19:30:00,Adelaide Oval,Port Adelaide,Fremantle,9,12,66,9,9,63,Port Adelaide,3,0,0,35743
2024,5,2024-04-14 13:00:00,Kardinia Park,Geelong,North Melbourne,21,13,139,10,4,64,Geelong,75,0,0,35744
2024,5,2024-04-14 16:00:00,Perth Stadium,West Coast,Richmond,16,13,109,10,10,70,West Coast,39,0,0,35745
2024,6,2024-04-18 19:30:00,Docklands,St Kilda,Western Bulldogs,9,10,64,19,10,124,Western Bulldogs,-60,0,0,35746
2024,6,2024-04-19 19:40:00,Adelaide Oval,Adelaide,Essendon,11,9,75,10,18,78,Essendon,-3,0,0,35747
