id,submission_id,created_datetime_utc,author,score,body,sent,label
nei22km,1ni8ytm,2025-09-16T10:38:08+00:00,Tgrattan123,1,"Sydney was the last team to lose a final against Fitzroy in 1986. 

With the exception of the merged Brisbane Bears, Gold Coast (whose first finals series was this season) and Richmond (last final was the 1977 Elimination Final) Sydney has faced every club in a final at least once as Sydney.",-0.4019,neg
nehuevw,1ni8ytm,2025-09-16T09:26:38+00:00,Math_Opening,1,"I was also gobsmacked that Richmond and Footscray have **never** played in a Final, given they were both in the VFL from 1925 onwards - 101 seasons. A big part is that they both had extended Finals droughts that overlapped: Footscray from 1962 to 1991 (only three Finals campaigns), Richmond from 1983 to 2012 (only two Finals campaigns).",0.34,pos
neh8828,1ni87r6,2025-09-16T05:45:18+00:00,Vet100,1,"I’m not convinced that any club would give him a full-time midfield role. Potentially Adelaide for the short-term while Draper & Curtin develop their games. 


But he’s on a big contract, he is a poor field kick, he is 27…you can rule out the other rebuilding clubs, all of Richmond/West Coast/Melbourne will prioritise youth & regeneration, with any senior players coming as value picks. St Kilda have had to look at phasing out one of Macrae or Steele already. Essendon maybe but do they really want to flick a first rounder from Merrett for a player of Simpkin’s ilk? I can’t imagine we’d give him up for less. No other club is it really worth mentioning as he would not get a look in.",-0.0927,neg
neh8xxh,1ni87r6,2025-09-16T05:51:52+00:00,AmbassadorShade,1,"At Richmond we need to go to a Five Captain model so these events don’t hurt us.  

“Four left” or “three left” would be good coping for the supporter base.",0.1531,pos
negs76i,1ni6ty3,2025-09-16T03:38:46+00:00,woodie1717,60,The GC and Richmond back and forth trade line continues,0.0,neu
nehblsr,1ni6ty3,2025-09-16T06:16:33+00:00,Spare_Lobster_4390,2,"If he comes to Richmond we will have 2 Jnr's on our list.

Is that a record?

And can his knick name be 'Guns & Rosas'?",0.0,neu
neh9h2o,1ni6ty3,2025-09-16T05:56:42+00:00,Sean_Stephens,1,"Richmond get the players, Gold Coast get the coaches",0.0,neu
neh02sb,1ni6osg,2025-09-16T04:37:31+00:00,Pretend-Device-91,1,30 years since the merger is more important.  We should wear the Fitzroy emblem if we play Richmond in melbourne,0.5413,pos
neg9yss,1ni4emj,2025-09-16T01:43:50+00:00,twiganthony_L_cigar,46,"Tigers is pretty easy I reckon: Dusty, Cotchin, Rance, Riewoldt, Richardson",0.7269,pos
negdtx7,1ni4emj,2025-09-16T02:06:24+00:00,Woodes_Rogers,2,"Pendles, Sidebottom, Swan, the Second incarnation of Jesus Christ and the man who may have prevented a Richmond 4-peat",0.0258,neu
nef3gv1,1nhpx29,2025-09-15T21:37:49+00:00,laserframe,14,"I don't think you really have past cases like this one.  He might be 30 but he Essendons best player, captain, contracted for 2 years and given their age demographic a crucial member given the experience he yields.

Sure if you are say a Richmond or West Coast Zac isn't worth much to try and trade for but to the Hawks who at the very least will be a preliminary finalist this is a bloke who could add the finishing touches to give you a list to win a flag with.  If Merrett wins you a flag then you pay up the pick 8 and future first and Essendon still may not take it.",0.9645,pos
nebhvft,1nhgont,2025-09-15T09:46:23+00:00,captwombat33,3,Do you think he would still regret choosing the Pies over the Tigers?,-0.4215,neg
nechzyo,1nhgont,2025-09-15T13:58:10+00:00,No_Independent936,-1,"I remember Richmond belted Collingwood by almost 100 in 2015 and Treloar thought Collingwood had the better team fsr. People say he deserves a premiership but with that type of ignorance, he clearly does not.",0.3071,pos
neevo2b,1nhgont,2025-09-15T20:54:49+00:00,Particular-Pace-4629,1,"What did you want him to say 

""I chose Collingwood but I thought the tigers were closer to the flag""",0.0387,neu
neg3xeh,1nhgont,2025-09-16T01:08:26+00:00,No_Independent936,1,If he wanted to choose the team with the better list then he should've chosen Richmond,0.4404,pos
negca0h,1nhgont,2025-09-16T01:57:26+00:00,No_Independent936,1,Yet they won 0 flags to Richmond's 3 when Treloar was around.,0.5719,pos
nebhxqw,1nhec4v,2025-09-15T09:47:01+00:00,DigbySugartits,4,"Why *rightly*?  Can you provide an example of another player who was 30 and in contract who received similar?

Bolton was 4 years younger with a longer contract.  He went for 10 and 11 and downgraded a pick.

Luke Jackson was 8 year younger and went for 13, F1 and F2.

Shit, port spent 2 firsts, a 2nd and junk for JHF and Rioli!!!

You dont get to just demand more because of emotion lol.  

It will be a first, a 2nd and a fringe player.  Essendon's players have contradicted their board and lkilled their leverage.  They need Zac more than we do.

I dont remember Richmond fans behaving like babies when Bolton and Rioli left for success, or Port fans when Houston asked to leave.  All of which were under contract.

  
This sub has completely lost grip on reality.  Essendon fans having pure tantrums and oppo fans just gettingt he shits that Hawthorn might improve.  Completely cooked.  Downvote away",-0.6284,neg
nebmwi3,1nhec4v,2025-09-15T10:33:28+00:00,Insertbloodynamehere,2,"Big victim mentality for a team not in the top 4 of being hated here. Collingwood, Richmond, us and Geelong are far less popular in a regular year.",-0.6581,neg
neadlsp,1nh9qry,2025-09-15T03:31:30+00:00,haydigan,7,And then the Tigers won the flag the next year.  Bombers premiership favourites for 2026 confirmed,0.5719,pos
nea9awl,1nh9ecv,2025-09-15T03:02:40+00:00,superjaywars,3,The UPF (pre-cursor to the NSN) unfurled flags at a Collingwood game and a Richmond game about 8 years ago. That's the last I remember that was this-adjacent.,0.0,neu
nebc4on,1nh7uvk,2025-09-15T08:47:00+00:00,NefariousnessCold337,1,"- Richmond pick 6 for an injury prone Dion Presta. Don't think he ever played a full season up to that point.


Geelong being forced to trade for Jeremy Cameron who at the point had his worst season to date. And who know if that was a one off or was the where Cameron was now.

Think Collingwood gave a first for Bobby Hill who at the time had one good season to his name.",-0.6808,neg
ne54u0f,1ngna0w,2025-09-14T09:59:48+00:00,Tommmmy__G,57,Unsure if as a Richmond supporter I can get behind Geelong,0.0258,neu
ne5az3s,1ngna0w,2025-09-14T10:58:17+00:00,Skiapodes,2,"You heard ‘em, Tigers and Swans. Get the hoops out.",0.0,neu
ne5d0cn,1ngna0w,2025-09-14T11:16:03+00:00,sltfc,8,"I grew up in Richmond, I've got a soft spot for you guys. Feel like you celebrated well without being too cunty.",0.7579,pos
ne5pr8y,1ngmuln,2025-09-14T12:49:42+00:00,Plenty_Area_408,3,"Merrett would also want to be able to veto any trade to Eagles, Richmond, dees, Carlton ect.",0.0772,pos
